,Close,Volume,Volatility,30 mavg,30 std,30 upper band,30 lower band,26 ema,12 ema,MACD,Signal,Crossover,UpperDiff,UpperGrad,LowerDiff,LowerGrad,CrossDiff,CrossGrad
0,3.38,98317,0.0887573964497041,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.38,3.38,0.0,0.0,741.5300285102784,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.1500285102784,0.014246879285337855
1,3.28,62353,0.05792682926829267,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.3280769230769227,3.325833333333333,-0.0022435897435895136,-0.0012464387464386187,741.515781630993,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.2357816309931,0.014246879285337855
2,3.24,87155,0.06790123456790129,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.296431739773287,3.2923325635103926,-0.004099176262894577,-0.002415593466297618,741.5059741785489,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.2659741785488,0.009807452444192677
3,3.32,65748,0.03313253012048189,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.3030203954096127,3.3010660919540227,-0.0019543034555900007,-0.002259329912534875,741.5343866016038,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.2143866016038,-0.028412423054987812
4,3.33,71861,0.045045045045045015,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.3092770769941717,3.308927331361003,-0.0003497456331689186,-0.0016912717618429555,741.5491956784083,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.2191956784083,-0.01480907680445398
5,3.38,34542,0.03254437869822482,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.3234423144064404,3.3262017289594814,0.002759414553040962,-0.00048488831713723607,741.5763817621815,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.1963817621815,-0.027186083773244718
6,3.38,116373,0.041420118343195304,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.333500805601985,3.3382066249163853,0.0047058193144002836,0.0008287413089260562,741.5854225904943,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.2054225904943,-0.009040828312777194
7,3.31,76706,0.048338368580060465,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.3297142435088882,3.332320337048039,0.0026060935391507556,0.001255872472965149,741.549319908064,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.2393199080641,0.036102682430282584
8,3.18,39174,0.059748427672955955,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.3075233059535103,3.302185952846126,-0.005337353107384146,-0.00026719534525631103,741.4575882020393,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.2775882020394,0.09173170602468872
9,3.29,167678,0.1398176291793313,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.3051052602807935,3.299876719517788,-0.005228540763005718,-0.001378824724538429,741.4750253664822,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.1850253664823,-0.01743716444286747
10,3.15,99815,0.08888888888888898,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.2849880588849576,3.272452893628987,-0.012535165255970426,-0.003819768286199117,741.4055065382735,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.2555065382735,0.06951882820874289
11,3.03,130485,0.08250825082508251,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.253658758154146,3.229345565080556,-0.02431319307358981,-0.008220896469480406,741.3001084602588,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.2701084602588,0.10539807801467305
12,3.1,57266,0.05483870967741933,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.2356576623523647,3.2068862612114226,-0.02877140114094212,-0.0125700972449826,741.2985510093484,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.1985510093484,0.0015574509103544187
13,3.4,176887,0.1441176470588236,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.2541152626699836,3.2397673651514802,-0.014347897518503405,-0.012942014388647933,741.509941836046,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.109941836046,-0.21139082669753861
14,3.36,431794,0.11904761904761903,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.265569397556961,3.2599083897994854,-0.005661007757475467,-0.011432709103671179,741.6124921818638,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.2524921818638,-0.10255034581780365
15,3.89,1878320,0.27249357326478163,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.330889968147457,3.364035996377011,0.03314602822955415,-0.002258737286672729,742.035877094771,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.145877094771,-0.4233849129071814
16,4.95,560892,0.28888888888888903,3.8596666666666666,0.6623234095595403,5.184313485785747,2.535019847547586,3.495243775856579,3.623171863859276,0.12792808800269695,0.02437844376448211,743.009502818295,0.8943134857857471,-0.01465707898248958,1.754980152452414,-0.034009587684177056,738.059502818295,-0.9736257235240373
