Close,Volume,Volatility,30 upper band,30 lower band,Crossover,UpperDiff,UpperGrad,LowerDiff,LowerGrad,CrossDiff,CrossGrad
195.52,18260969748,0.04260433715220941,199.52035723767705,120.33964276232284,186.66486195061646,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,-8.855138049383555,0.460492396626762
189.24,16788555028,0.026368632424434626,199.52035723767705,120.33964276232284,186.2043695539897,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,-3.035630446010316,0.460492396626762
185.03,21275740032,0.04728962870885802,199.52035723767705,120.33964276232284,185.658855607114,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,0.6288556071139908,0.5455139468757011
182.6,17994666395,0.0652792990142387,199.52035723767705,120.33964276232284,185.23581334089124,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,2.6358133408912465,0.4230422662227511
172.74,16458767984,0.026803288178765747,199.52035723767705,120.33964276232284,183.2438421816127,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,10.503842181612697,1.9919711592785347
172.3,21266681335,0.09146836912362169,199.52035723767705,120.33964276232284,182.65684698067855,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,10.35684698067854,0.5869952009341546
181.61,19146038381,0.04394031165684703,199.52035723767705,120.33964276232284,185.10783955890622,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,3.4978395589062075,-2.4509925782276696
186.91,20160323443,0.08731475041463803,199.52035723767705,120.33964276232284,187.95582161873628,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,1.0458216187362837,-2.847982059830059
171.64,16714684266,0.026392449312514575,199.52035723767705,120.33964276232284,185.15165957926268,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,13.511659579262698,2.8041620394735958
172.16,22910469236,0.13243494423791813,199.52035723767705,120.33964276232284,183.9292180123715,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,11.76921801237151,1.2224415668911774
153.29,14171753737,0.05160153956552937,199.52035723767705,120.33964276232284,177.71563843580475,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,24.425638435804757,6.213579576566758
157.6,14723156630,0.03217005076142128,199.52035723767705,120.33964276232284,176.17432438042562,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,18.574324380425622,1.5413140553791322
156.28,16465282133,0.05848477092398251,199.52035723767705,120.33964276232284,175.6154743826528,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,19.33547438265279,0.5588499977728247
161.14,15123721386,0.050887427082040575,199.52035723767705,120.33964276232284,177.74238854611576,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,16.602388546115776,-2.1269141634629705
158.22,13555089447,0.03710024017191237,199.52035723767705,120.33964276232284,178.704602303284,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,20.484602303283992,-0.9622137571682288
158.41,17980944616,0.1012562338236222,199.52035723767705,120.33964276232284,180.00551995236995,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,21.595519952369955,-1.3009176490859602
170.81,14901696210,0.028745389614191187,199.52035723767705,120.33964276232284,185.870071823052,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,15.060071823051999,-5.86455187068205
172.64,17063110836,0.0505097312326228,199.52035723767705,120.33964276232284,190.37276875070694,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,17.732768750706953,-4.502696927654938
165.1,21659346091,0.06662628709872805,199.52035723767705,120.33964276232284,190.28304467205646,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,25.183044672056468,0.08972407865047671
169.14,21636382525,0.15212250206929184,199.52035723767705,120.33964276232284,191.7563715238074,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,22.616371523807402,-1.473326851750926
143.55,11280993591,0.02807384186694532,199.52035723767705,120.33964276232284,182.61903728738997,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,39.06903728738996,9.137334236417416
145.22,11946658257,0.036220906211265606,199.52035723767705,120.33964276232284,178.0287037752208,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,32.808703775220806,4.590333512169167
142.09,13184603402,0.05123513266239708,199.52035723767705,120.33964276232284,174.6045344675655,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,32.51453446756548,3.424169307655319
142.03,15322861686,0.0778708723509118,199.52035723767705,120.33964276232284,173.3347213329309,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,31.30472133293091,1.2698131346345747
135.63,12456564435,0.04350070043500705,199.52035723767705,120.33964276232284,170.9069433479724,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,35.276943347972406,2.42777798495851
133.59,11065246317,0.019612246425630694,199.52035723767705,120.33964276232284,169.69404645182595,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,36.10404645182595,1.2128968961464466
132.9,11841123306,0.06486079759217449,199.52035723767705,120.33964276232284,169.89218135114476,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,36.99218135114475,-0.19813489931880213
125.58,9938133669,0.0455486542443063,199.52035723767705,120.33964276232284,168.2047199665115,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,42.624719966511506,1.6874613846332522
130.99,12162403960,0.05397358576990615,199.52035723767705,120.33964276232284,170.8420075352712,65.58035723767705,3.524137250015116,13.600357237677159,0.28652941665156106,39.852007535271184,-2.637287568759689
