,Close,Volume,Volatility,30 mavg,30 std,30 upper band,30 lower band,26 ema,12 ema,MACD,Signal,Crossover,btc_total_bitcoins,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions_total,btc_estimated_transaction_volume_usd
0,434.33,36278900,0.020122947988856422,,,,,434.33,434.33,0.0,0.0,0.0,15031975.0,697129.166406,103880340815.0,1467328.02,19.735687699999996,11.8693772194,232199.0,101247924.0,56110092.0
1,433.44,30096600,0.009666851236618673,,,,,433.8678846153846,433.84791666666666,-0.019967948717919626,-0.01109330484328868,-0.008874643874630946,15035400.0,707457.005908,103880340815.0,1498828.76,29.83594196,10.4883611375,334703.0,101390828.0,45906482.0
2,430.01,39633800,0.020999511639264272,,,,,432.48178413011334,432.3499769053118,-0.13180722480154827,-0.06056622285896883,-0.07124100194257944,15039125.0,769424.042922,103880340815.0,1604631.24,23.84912157,11.3752001928,295177.0,101531892.0,51825525.0
3,433.09,38477500,0.012560899582073006,,,,,432.65181470855583,432.583573275862,-0.06824143269381011,-0.06316622619055463,-0.005075206503255478,15043500.0,903685.9564520001,103880340815.0,1906932.0,29.04309207,11.2056459195,363742.0,101702068.0,81211038.0
4,431.96,34522600,0.010417631262153903,,,,,432.49138002418357,432.4141506454467,-0.07722937873688807,-0.06734969612937348,-0.009879682607514581,15047575.0,841718.919438,103880340815.0,1774245.2,33.25645748,9.48733343315,365051.0,101889080.0,90298235.0
5,429.11,34042500,0.012863834448043714,,,,,431.81411657425923,431.61106820788353,-0.2030483663756968,-0.10413158046624228,-0.0989167859094545,15050975.0,702293.0861569999,103880340815.0,1477472.5,30.18982189,8.32482054114,338929.0,102066558.0,92674992.0
6,458.05,87562200,0.06481825128261107,,,,,436.48003243831283,437.5108233345305,1.0307908962176953,0.18308702140587707,0.8477038748118182,15054575.0,743604.444166,103880340815.0,1648782.14,34.09833151,9.26943459659,326219.0,102244431.0,127522745.0
7,453.23,56993000,0.03307371533217132,,,,,439.1788672486533,440.79117322327556,1.6123059746222452,0.5265552123321426,1.0857507622901026,15058950.0,903685.9564520001,103880340815.0,1971446.4,35.79529128,10.3759790738,366508.0,102434432.0,121105566.0
8,447.61,32278000,0.01731417975469717,,,,,440.4285462105293,442.1401798620365,1.7116336515072135,0.8003142109860376,0.9113194405211759,15062925.0,821063.240434,103880340815.0,1802400.6,29.65980991,10.1046150224,371151.0,102612806.0,70372025.0
9,447.99,35995900,0.017768253755664144,,,,,441.4719532402066,443.24871850468077,1.776765264474193,1.0190959298732498,0.7576693346009431,15067175.0,877866.3576959999,103880340815.0,1909014.72,28.84040484,11.591775428499998,363228.0,102777493.0,85552386.0
10,448.43,40450000,0.015164016680418373,,,,,442.3744141092642,444.19676808880337,1.822353979539173,1.1948442013750058,0.6275097781641672,15071425.0,877866.3576959999,103880340815.0,1914972.13,33.93862178,10.6522861307,365605.0,102957264.0,106830047.0
11,435.69,115607000,0.028667171612844017,,,,,441.55312851356143,442.6842926491392,1.1311641355777624,1.1811683938805992,-0.050004258302836835,15075825.0,908849.8762030001,103880340815.0,1980490.44,34.68518114,10.0708365877,372889.0,103153920.0,99053316.0
12,432.37,173888000,0.024862964590512755,,,,,440.47732666459126,440.8933396106031,0.4160129460118469,1.0192349172846784,-0.6032219712728315,15079650.0,862135.539442,113354299801.0,1657710.63,34.14797822,8.65067020477,341119.0,103345548.0,107417819.0
13,430.31,43945500,0.012711765936185473,,,,,439.3354148811769,439.0913347819868,-0.2440800991901142,0.7549484732589244,-0.9990285724490386,15082950.0,743803.2104989999,113354299801.0,1439090.8,32.437961800000004,7.84716069578,354601.0,103528938.0,88360661.0
14,364.33,153351000,0.18093486674169026,,,,,431.2216662808942,426.56753133661704,-4.654134944277189,-0.36631931326041556,-4.287815631016773,15086025.0,693089.355238,113354299801.0,1217938.2,35.56461585,6.579715296719999,344968.0,103714043.0,127558283.0
15,387.54,120352000,0.09199050420601738,,,,,426.6522051515897,420.11792406852777,-6.5342810830619555,-1.6356398644800128,-4.898641218581943,15089500.0,783247.320146,113354299801.0,1300104.0,35.06789583,6.83182957525,393797.0,103904344.0,112705089.0
16,382.3,45319600,0.028433167669369618,,,,,422.1500690066982,413.9387292460165,-8.211339760681653,-2.981076380685509,-5.230263379996144,15092975.0,783247.320146,113354299801.0,1352544.05,34.12662086,7.017781519319999,447783.0,104097075.0,69422433.0
17,387.17,54403900,0.029521915437663058,,,,,418.6940998604847,409.60626129260675,-9.087838567877952,-4.224834370196399,-4.863004197681553,15097350.0,986102.741192,113354299801.0,1700240.64,38.60077135,7.947500818010001,395421.0,104311009.0,73971077.0
18,380.15,46819800,0.02304353544653424,,,,,414.9778909049785,404.876667338811,-10.101223566167505,-5.417297412958741,-4.683926153208764,15101075.0,839596.048215,113354299801.0,1425654.9,40.123582299999995,6.92956910589,382142.0,104516744.0,86289615.0
19,420.23,121720000,0.11581752849629955,,,,,415.47320471267113,407.325400351823,-8.147804360848113,-5.969768358878833,-2.1780360019692804,15104725.0,822691.429794,113354299801.0,1509187.68,46.36233719,7.698640943110001,387569.0,104712777.0,128208178.0
20,410.26,68338000,0.040413396382781616,,,,,414.99131030724993,407.7908177282467,-7.200492579003253,-6.218204622995107,-0.9822879560081459,15108075.0,755072.956112,113354299801.0,1384752.0,44.97159781,6.586529680369999,406195.0,104923017.0,135289667.0
