Close,Volume,Volatility,30 upper band,30 lower band,Crossover,UpperDiff,UpperGrad,LowerDiff,LowerGrad,CrossDiff,CrossGrad
117.24,259390832,0.0266120777891505,184.30189711210318,101.18076955456348,95.12107028164075,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-22.11892971835924,-0.36935401077781194
121.1,286573520,0.0556564822460777,184.30189711210318,101.18076955456348,95.49042429241857,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-25.609575707581428,-0.36935401077781194
120.7,290182752,0.04979287489643749,184.30189711210318,101.18076955456348,95.4032842933933,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-25.296715706606705,0.08713999902526837
119.31,255827278,0.021205263599027753,184.30189711210318,101.18076955456348,95.00674012664754,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-24.30325987335246,0.39654416674575543
120.42,299199981,0.042683939544926094,184.30189711210318,101.18076955456348,95.1576125701091,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-25.262387429890907,-0.1508724434615516
117.53,296756861,0.04977452565302471,184.30189711210318,101.18076955456348,94.34724670718984,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-23.182753292810162,0.8103658629192552
118.04,277441522,0.020670958996950164,184.30189711210318,101.18076955456348,94.18842336446434,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-23.851576635535665,0.1588233427254977
112.37,280347731,0.07439708107146034,184.30189711210318,101.18076955456348,92.21610175131119,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-20.15389824868882,1.9723216131531558
112.81,284472127,0.034216824749578933,184.30189711210318,101.18076955456348,91.55321955125372,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-21.256780448746284,0.6628822000574672
124.18,365589460,0.11032372362699298,184.30189711210318,101.18076955456348,95.82128312009556,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-28.35871687990445,-4.268063568841839
124.3,343541553,0.07570394207562346,184.30189711210318,101.18076955456348,98.25132185798353,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-26.04867814201647,-2.430038737887969
131.74,377459113,0.09389706998633675,184.30189711210318,101.18076955456348,102.53850498159649,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-29.20149501840352,-4.287183123612962
141.48,387372749,0.07534633870511731,184.30189711210318,101.18076955456348,108.7343806023722,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-32.74561939762779,-6.195875620775709
152.49,512588128,0.07810348219555396,184.30189711210318,101.18076955456348,116.37043522193409,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-36.11956477806592,-7.6360546195618895
148.73,540120847,0.1063000067235931,184.30189711210318,101.18076955456348,117.8737119208414,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-30.85628807915859,-1.5032766989073139
137.81,419729334,0.13750816341339536,184.30189711210318,101.18076955456348,112.24502395303946,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-25.56497604696054,5.6286879678019375
140.36,394050658,0.05948988315759491,184.30189711210318,101.18076955456348,108.84875972692316,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-31.51124027307685,3.396264226116301
169.78,509310051,0.18500412298268346,184.30189711210318,101.18076955456348,119.93799021164256,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-49.842009788357444,-11.089230484719394
167.75,520959990,0.07409836065573774,184.30189711210318,101.18076955456348,124.0488859831743,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-43.7011140168257,-4.1108957715317445
166.64,433507335,0.04818771003360539,184.30189711210318,101.18076955456348,124.05260477372116,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-42.58739522627883,-0.0037187905468556437
155.05,378849361,0.0939696871976783,184.30189711210318,101.18076955456348,116.15658449809175,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-38.893415501908265,7.896020275629411
154.48,405608815,0.06220870015535983,184.30189711210318,101.18076955456348,109.35037232657422,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-45.12962767342577,6.806212171517529
156.34,469518392,0.05302545733657426,184.30189711210318,101.18076955456348,104.81522226957361,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-51.52477773042639,4.535150057000607
156.12,407186152,0.03465283115552137,184.30189711210318,101.18076955456348,100.82550811005743,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-55.29449188994258,3.9897141595161827
162.6,959012638,0.07490774907749065,184.30189711210318,101.18076955456348,100.94641887352947,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-61.65358112647053,-0.12091076347203966
167.1,1019452596,0.04452423698384217,184.30189711210318,101.18076955456348,102.57434709193083,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-64.52565290806916,-1.6279282184013653
169.2,509134514,0.0511820330969267,184.30189711210318,101.18076955456348,103.75720519243927,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-65.44279480756072,-1.1828581005084402
168.24,461954107,0.07126723728007613,184.30189711210318,101.18076955456348,102.91383090996877,19.12189711210317,-1.0518431555524899,63.999230445436524,-2.028823511114169,-65.32616909003124,0.8433742824705064
