Date,Open,High,Low,Close,Volume,Market Cap
"May 01, 2020",8672.78,9048.02,8667.76,8864.77,44068389997,162722652380
"Apr 30, 2020",8797.67,9440.65,8533.26,8658.55,66964629541,158922133909
"Apr 29, 2020",7806.71,8871.75,7786.05,8801.04,60201052203,161522471385
"Apr 28, 2020",7796.97,7814.53,7730.81,7807.06,33187959921,143266252261
"Apr 27, 2020",7679.42,7795.6,7679.42,7795.6,36162144725,143040988590
"Apr 26, 2020",7570.14,7700.59,7561.41,7679.87,33070154491,140903867573
"Apr 25, 2020",7550.48,7641.36,7521.67,7569.94,32941541447,138874072264
"Apr 24, 2020",7434.18,7574.2,7434.18,7550.9,34636526286,138512029491
"Apr 23, 2020",7121.31,7491.78,7081.59,7429.72,43500782316,136275638031
"Apr 22, 2020",6879.44,7145.87,6867.78,7117.21,33249153866,130530916077
"Apr 21, 2020",6879.78,6934.55,6834.44,6880.32,32589741511,126175238603
"Apr 20, 2020",7186.87,7240.29,6835.5,6881.96,37747113936,126192239912
"Apr 19, 2020",7260.92,7280.52,7167.05,7189.42,31311210215,131815853850
"Apr 18, 2020",7092.29,7269.96,7089.25,7257.66,32447188386,133053136876
"Apr 17, 2020",7116.55,7167.18,7050.33,7096.18,32513423567,130078472088
"Apr 16, 2020",6640.45,7134.45,6555.5,7116.8,46783242377,130445413270
"Apr 15, 2020",6845.56,6928.66,6633.4,6642.11,32288311031,121731940639
"Apr 14, 2020",6843.28,6958.56,6793.82,6842.43,34110434052,125388687977
"Apr 13, 2020",6965.62,6965.62,6668.26,6845.04,38619308647,125422221237
"Apr 12, 2020",6858.07,7119.95,6811.08,6971.09,35759567632,127716846208
"Apr 11, 2020",6867.44,6926.07,6789.92,6859.08,31222085946,125651623116
"Apr 10, 2020",7303.82,7303.82,6802.47,6865.49,43622840992,125755496117
"Apr 09, 2020",7337.97,7341.45,7179.09,7302.09,34815139178,133737857010
"Apr 08, 2020",7179.28,7356.22,7153.31,7334.1,37563249549,134309895036
"Apr 07, 2020",7273.64,7427.94,7136.71,7176.41,44243482668,131409299432
"Apr 06, 2020",6788.05,7271.78,6782.89,7271.78,46896904615,133140400948
"Apr 05, 2020",6862.54,6883.41,6715.93,6791.13,29510409856,124328853512
"Apr 04, 2020",6738.38,6878.95,6696.48,6867.53,33185988584,125712834530
"Apr 03, 2020",6797.4,7003.22,6673.34,6733.39,38976504903,123244051100
"Apr 02, 2020",6606.78,7088.25,6595.92,6793.62,47660646124,124335130640
"Apr 01, 2020",6437.32,6612.57,6202.37,6606.78,40346426266,120903014693
"Mar 31, 2020",6430.61,6504.52,6374.16,6438.64,32786468812,117814077267
"Mar 30, 2020",5925.54,6517.2,5903.23,6429.84,37101651525,117640143688
"Mar 29, 2020",6245.62,6250.47,5920.09,5922.04,28373690931,108338520156
"Mar 28, 2020",6467.25,6467.5,6117.84,6242.19,34885225901,114183689641
"Mar 27, 2020",6719.39,6793.84,6466.7,6469.8,34585598367,118336082172
"Mar 26, 2020",6675.17,6735.46,6590.96,6716.44,35319797642,122834375216
"Mar 25, 2020",6738.72,6892.51,6536.93,6681.06,44590107888,122174009143
"Mar 24, 2020",6436.64,6789.02,6411.07,6734.8,48221910672,123148917787
"Mar 23, 2020",5831.37,6443.93,5785,6416.31,46491916000,117314776187
"Mar 22, 2020",6185.56,6359.7,5823.71,5830.25,40099664740,106591196069
"Mar 21, 2020",6206.52,6378.14,5932.82,6185.07,42494390880,113068192795
"Mar 20, 2020",6191.65,6844.26,5865.78,6198.78,54442976103,113309245860
"Mar 19, 2020",5245.42,6329.74,5236.97,6191.19,51000731797,113162079956
"Mar 18, 2020",5227.11,5331.83,5069.34,5238.44,37878801016,95740715529
"Mar 17, 2020",5002.58,5371.35,4981.91,5225.63,38622642935,95499941183
"Mar 16, 2020",5385.23,5385.23,4575.36,5014.48,45368026430,91633478850
"Mar 15, 2020",5201.07,5836.65,5169.28,5392.31,33997889639,98530059890
"Mar 14, 2020",5573.08,5625.23,5125.07,5200.37,36154506008,95014981944
"Mar 13, 2020",5017.83,5838.11,4106.98,5563.71,74156772075,101644613038
"Mar 12, 2020",7913.62,7929.12,4860.35,4970.79,53980357243,90804613601
"Mar 11, 2020",7910.09,7950.81,7642.81,7911.43,38682762605,144508402671
"Mar 10, 2020",7922.15,8136.95,7814.76,7909.73,42213940994,144465567734
"Mar 09, 2020",8111.15,8177.79,7690.1,7923.64,46936995808,144706353758
"Mar 08, 2020",8908.21,8914.34,8105.25,8108.12,39973102121,148060284561
"Mar 07, 2020",9121.6,9163.22,8890.74,8909.95,36216930370,162684945903
"Mar 06, 2020",9078.31,9167.7,9032.08,9122.55,40826885651,166548261960
"Mar 05, 2020",8760.29,9142.05,8757.25,9078.76,39698054597,165731679918
"Mar 04, 2020",8788.54,8843.37,8712.43,8755.25,34746706368,159807857328
"Mar 03, 2020",8865.39,8901.6,8704.99,8787.79,42386715821,160383579416
"Mar 02, 2020",8563.26,8921.31,8532.63,8869.67,42857674409,161861167745
"Mar 01, 2020",8599.76,8726.8,8471.21,8562.45,35349164300,156238987740
"Feb 29, 2020",8671.21,8775.63,8599.51,8599.51,35792392544,156895988084
"Feb 28, 2020",8788.73,8890.46,8492.93,8672.46,44605450443,158211707019
"Feb 27, 2020",8825.09,8932.89,8577.2,8784.49,45470195695,160238496932
"Feb 26, 2020",9338.29,9354.78,8704.43,8820.52,50420050762,160879489024
"Feb 25, 2020",9651.31,9652.74,9305.02,9341.71,42515259129,170369581558
"Feb 24, 2020",9921.58,9951.75,9537.04,9650.17,45080496648,175977808526
"Feb 23, 2020",9663.32,9937.4,9657.79,9924.52,41185185761,180963233540
"Feb 22, 2020",9687.71,9698.23,9600.73,9663.18,35838025154,176180696548
"Feb 21, 2020",9611.78,9723.01,9589.74,9686.44,40930547513,176587087363
"Feb 20, 2020",9629.33,9643.22,9507.9,9608.48,44925260237,175147142158
"Feb 19, 2020",10143.8,10191.68,9611.22,9633.39,46992019710,175585931679
"Feb 18, 2020",9691.23,10161.94,9632.38,10142,47271023953,184838512656
"Feb 17, 2020",9936.56,9938.82,9507.64,9690.14,45998298413,176585280987
"Feb 16, 2020",9889.18,10053.97,9722.39,9934.43,43374780305,181017665264
"Feb 15, 2020",10313.86,10341.56,9874.43,9889.42,43865054831,180179996219
"Feb 14, 2020",10211.55,10322,10125.53,10312.12,43338264162,187862645449
"Feb 13, 2020",10323.96,10457.63,10116.16,10214.38,49356071373,186065003526
"Feb 12, 2020",10202.39,10393.61,10202.39,10326.05,43444303830,188081204386
"Feb 11, 2020",9855.89,10210.05,9729.33,10208.24,37648059389,185917114989
"Feb 10, 2020",10115.56,10165.77,9784.56,9856.61,39386548075,179494809266
"Feb 09, 2020",9863.89,10129.44,9850.39,10116.67,35807884663,184214765394
"Feb 08, 2020",9793.07,9876.75,9678.91,9865.12,35172043762,179615828322
"Feb 07, 2020",9726,9834.72,9726,9795.94,34522718159,178339437206
"Feb 06, 2020",9617.82,9824.62,9539.82,9729.8,37628823716,177118274394
"Feb 05, 2020",9183.42,9701.3,9163.7,9613.42,35222060874,174983423933
"Feb 04, 2020",9292.84,9331.27,9112.81,9180.96,29893183716,167093636162
"Feb 03, 2020",9344.68,9540.37,9248.63,9293.52,30934096509,169126861034
"Feb 02, 2020",9389.82,9468.8,9217.82,9344.37,30835736946,170034976662
"Feb 01, 2020",9346.36,9439.32,9313.24,9392.88,25922656496,170900662180
"Jan 31, 2020",9508.31,9521.71,9230.78,9350.53,29432489719,170112778161
"Jan 30, 2020",9316.02,9553.13,9230.9,9508.99,32378792851,172978577931
"Jan 29, 2020",9357.47,9406.43,9269.47,9316.63,30682598115,169460984603
"Jan 28, 2020",8912.52,9358.59,8908.45,9358.59,34398744403,170205617955
"Jan 27, 2020",8597.31,8977.73,8597.31,8909.82,28647338393,162027957435
"Jan 26, 2020",8364.41,8602.4,8325.5,8596.83,22177678796,156322174637
"Jan 25, 2020",8440.12,8458.45,8296.22,8367.85,19647331549,152143262650
"Jan 24, 2020",8405.57,8514.67,8266.84,8445.43,24397913026,153536829768
"Jan 23, 2020",8680.65,8687.75,8333.64,8406.52,25770680779,152813329633
"Jan 22, 2020",8744.21,8792.99,8636.75,8680.88,22600204051,157783273070
"Jan 21, 2020",8658.99,8755.71,8544.52,8745.89,24097418512,158947996834
"Jan 20, 2020",8704.63,8745.59,8560.47,8657.64,26422375678,157327553259
"Jan 19, 2020",8941.45,9164.36,8620.08,8706.25,34217320471,158194319735
"Jan 18, 2020",8927.21,9012.2,8827.33,8942.81,32337772627,162475965880
"Jan 17, 2020",8725.21,8958.12,8677.32,8929.04,36372139320,162211148778
"Jan 16, 2020",8812.48,8846.46,8612.1,8723.79,31313981931,158465055984
"Jan 15, 2020",8825.34,8890.12,8657.19,8807.01,40102834650,159959191212
"Jan 14, 2020",8140.93,8879.51,8140.93,8827.76,44841784107,160319484883
"Jan 13, 2020",8189.77,8197.79,8079.7,8144.19,22482910688,147890525973
"Jan 12, 2020",8033.26,8200.06,8009.06,8192.49,22903438381,148752956966
"Jan 11, 2020",8162.19,8218.36,8029.64,8037.54,25521165085,145924199942
"Jan 10, 2020",7878.31,8166.55,7726.77,8166.55,28714583844,148249907277
"Jan 09, 2020",8082.3,8082.3,7842.4,7879.07,24045990466,143016572819
"Jan 08, 2020",8161.94,8396.74,7956.77,8079.86,31672559265,146645162431
"Jan 07, 2020",7768.68,8178.22,7768.23,8163.69,28767291327,148152237654
"Jan 06, 2020",7410.45,7781.87,7409.29,7769.22,23276261598,140976457304
"Jan 05, 2020",7410.45,7544.5,7400.54,7411.32,19725074095,134469548249
"Jan 04, 2020",7345.38,7427.39,7309.51,7410.66,18444271275,134442464030
"Jan 03, 2020",6984.43,7413.72,6915,7344.88,28111481032,133233444755
"Jan 02, 2020",7202.55,7212.16,6935.27,6985.47,20802083465,126699395235
"Jan 01, 2020",7194.89,7254.33,7174.94,7200.17,18565664997,130580829150
"Dec 31, 2019",7294.44,7335.29,7169.78,7193.6,21167946112,130446112598
"Dec 30, 2019",7420.27,7454.82,7276.31,7293,22874131672,132235128152
"Dec 29, 2019",7317.65,7513.95,7279.87,7422.65,22445257702,134570835775
"Dec 28, 2019",7289.03,7399.04,7286.91,7317.99,21365673026,132659059740
"Dec 27, 2019",7238.14,7363.53,7189.93,7290.09,22777360996,132139502950
"Dec 26, 2019",7274.8,7388.3,7200.39,7238.97,22787010034,131200030100
"Dec 25, 2019",7325.76,7357.02,7220.99,7275.16,21559505149,131840641292
"Dec 24, 2019",7354.39,7535.72,7269.53,7322.53,22991622105,132687583295
"Dec 23, 2019",7508.9,7656.18,7326.19,7355.63,27831788041,133275709111
"Dec 22, 2019",7191.19,7518.03,7167.18,7511.59,23134537956,136088022049
"Dec 21, 2019",7220.59,7223.23,7112.74,7191.16,19312552168,130267655889
"Dec 20, 2019",7208.64,7257.92,7086.12,7218.82,22633815180,130752796980
"Dec 19, 2019",7277.59,7346.6,7041.38,7202.84,25904604416,130445758713
"Dec 18, 2019",6647.7,7324.98,6540.05,7276.8,31836522778,131754969804
"Dec 17, 2019",6931.32,6964.07,6587.97,6640.52,22363804217,120234244809
"Dec 16, 2019",7153.66,7171.17,6903.68,6932.48,20213265950,125515586952
"Dec 15, 2019",7124.24,7181.08,6924.38,7152.3,16881129804,129481424648
"Dec 14, 2019",7268.9,7308.84,7097.21,7124.67,17137029730,128970221233
"Dec 13, 2019",7244.66,7293.56,7227.12,7269.68,17125736940,131581377758
"Dec 12, 2019",7216.74,7266.64,7164.74,7243.13,18927080224,131087151088
"Dec 11, 2019",7277.2,7324.16,7195.53,7217.43,16350490689,130609895528
"Dec 10, 2019",7397.13,7424.02,7246.04,7278.12,18249031195,131696121855
"Dec 09, 2019",7561.8,7618.09,7365.99,7400.9,17872021272,133904005787
